sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
ASP-UC2484,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Oven and Pantry Cabinets,,"Aspen White- Utility Cabint24""x84""","Aspen White- Utility Cabint24""x84"" it measures 24""WX24""DX84""H has 4 Doors and 4 Shelves",100,1,0,"Catalog, Search",1203.97,517.7071,,,"aspen-white-utility-cabint24""x84""-asp-uc2484""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""565""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-UC2490,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Oven and Pantry Cabinets,,"Aspen White- Utility Cabint24""x90""","Aspen White- Utility Cabint24""x90"" it measures 24""WX24""DX90""H has 4 Doors and 4 Shelves",110,1,0,"Catalog, Search",1246.56,536.0208,,,"aspen-white-utility-cabint24""x90""-asp-uc2490""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""570""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-UC2496,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Oven and Pantry Cabinets,,"Aspen White- Utility Cabint18""x96""","Aspen White- Utility Cabint24""x96"" it measures 24""WX24""DX96""H has 4 Doors and 4 Shelves",120,1,0,"Catalog, Search",1342.53,577.2879,,,"aspen-white-utility-cabint18""x96""-asp-uc2496""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""575""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-UOC3384,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Oven and Pantry Cabinets,,"Aspen White- Universal Oven Cabinet 33""x84""","Aspen White Universal Oven Cabinet. It measures 33""w x 24""d x 84""h. It hold 1 oven unit. It has 3 storage drawers below and a 2 door cabinet on top. The cut out opening measures 28.5""w x 22""h. It will fit a standard size oven. It can be arranged as a single oven, double oven, or oven/microwave combination by removing the necessary drawers and cutting to fit.",84,1,0,"Catalog, Search",1421.95,611.4385,,,"aspen-white-universal-oven-cabinet-33""x84""-asp-uoc3384""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""580""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-UOC3390,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Oven and Pantry Cabinets,,"Aspen White- Universal Oven Cabinet 33""x90""","Aspen White Universal Oven Cabinet. It measures 33""w x 24""d x 90""h. It hold 1 oven unit. It has 3 storage drawers below and a 2 door cabinet on top. The cut out opening measures 28.5""w x 22""h. It will fit a standard size oven. It can be arranged as a single oven, double oven, or oven/microwave combination by removing the necessary drawers and cutting to fit",90,1,0,"Catalog, Search",1447.15,622.2745,,,"aspen-white-universal-oven-cabinet-33""x90""-asp-uoc3390""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""585""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-UOC3396,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Oven and Pantry Cabinets,,"Aspen White- Universal Oven Cabinet 33""x84""","Aspen White Universal Oven Cabinet. It measures 33""w x 24""d x 96""h. It hold 1 oven unit. It has 3 storage drawers below and a 2 door cabinet on top. The cut out opening measures 28.5""w x 22""h. It will fit a standard size oven. It can be arranged as a single oven, double oven, or oven/microwave combination by removing the necessary drawers and cutting to fit",96,1,0,"Catalog, Search",1596.71,686.5853,,,"aspen-white-universal-oven-cabinet-33""x84""-asp-uoc3396""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""590""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-V2421,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 24""Wx21""D","Aspen White Vanity- Cabinet 24""Wx21""D it measures 24""WX21""DX34.5""H Sink Base",36,1,0,"Catalog, Search",536.76,230.8068,,,"aspen-white-vanity-cabinet-24""wx21""d-asp-v2421""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""595""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-V3021,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 30""Wx21","Aspen White Vanity- Cabinet 30""Wx21""D it measures 30""WX21""DX34.5""H Sink Base",42,1,0,"Catalog, Search",631.43,271.5149,,,"aspen-white-vanity-cabinet-30""wx21-asp-v3021""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""600""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-V3021D,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 30""Wx21""D with Drawer ","Aspen White Vanity- Cabinet 30""Wx21""D with Drawer  it measures  30""WX21""DX34.5H with Dfrawers",44,1,0,"Catalog, Search",644.83,277.2769,,,"aspen-white-vanity-cabinet-30""wx21""d-with-drawer-asp-v3021d""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""605""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-V3621,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 36""Wx21""D","Aspen White Vanity- Cabinet 36""Wx21""D it measures 36""WX21""DX34.5""H Sink Base",50,1,0,"Catalog, Search",797.2,342.796,,,"aspen-white-vanity-cabinet-36""wx21""d-asp-v3621""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""610""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-V3621D,,Default,simple,Default Category/Shop Cabinets/Bathroom Cabinets/Aspen White,,"Aspen White Vanity- Cabinet 36""Wx21""D with Drawer","Aspen White Vanity- Cabinet 36""Wx21""D with Drawer it measures 36""WX21""DX34.5""H with Drawers",56,1,0,"Catalog, Search",824,354.32,,,"aspen-white-vanity-cabinet-36""wx21""d-with-drawer-asp-v3621d""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""615""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
